Identifier Type,Identifier Value,Amortized Cost,Market Value,Accounting Intent,Type of Hedge,Hedged Risk,Hedge Interest Rate,Hedge Percentage,Hedge Horizon,Hedged Cash Flow,Sidedness,Hedging Instrument at Fair Value,Effective Portion of Cumulative Gains and Losses,ASU 2017-12 Hedge Designations
INTERNAL,ID503880,35448397.37,27131728.38,HTM,1,7,5,0.0097,2033-04-21,4,1,34257443,-23361082,2
CUSIP,ID113055,28194718.02,40012075.87,EQ,1,4,4,0.5722,2032-04-10,4,1,22536726,8485176,1
SEDOL,ID818979,23817660.75,16564748.8,EQ,2,9,4,0.1243,2029-03-09,4,2,45175431,-33361691,2
CUSIP,ID965560,43933533.37,26379772.65,AFS,1,11,4,0.4477,2026-02-26,6,2,-41630135,4376259,1
INTERNAL,ID585099,22216774.59,38159076.05,AFS,2,8,3,0.8025,2034-11-29,6,2,-1299629,49681884,3
SEDOL,ID900205,44163805.34,27136292.73,AFS,2,9,1,0.4757,2031-10-23,4,1,-19791081,-25312581,3
ISIN,ID701061,40546818.79,39467112.23,AFS,1,1,4,0.896,2032-07-12,3,2,-627257,29071855,2
INTERNAL,ID361428,48388229.35,17535033.41,HTM,2,9,3,0.8357,2029-03-28,2,2,-14035324,22531711,2
SEDOL,ID886248,48568871.99,30537974.76,HTM,2,8,2,0.1478,2026-05-10,3,1,28585414,-41924469,1
SEDOL,ID450753,5484313.19,13811210.56,AFS,2,5,2,0.7533,2029-11-16,3,2,-45376766,-34898046,1
CUSIP,ID874229,36110954.34,33068798.92,AFS,2,1,1,0.4638,2026-08-17,4,1,13372304,5007261,1
ISIN,ID431715,6904862.97,15996353.82,HTM,2,1,4,0.0778,2026-05-03,1,1,-27737698,47715912,3
SEDOL,ID570406,39639789.87,36544103.32,HTM,1,1,4,0.1917,2029-05-29,5,2,-47798781,-21870541,1
CUSIP,ID532524,40117819.74,21093621.71,HTM,2,8,1,0.6225,2032-03-14,3,1,-43884438,-21719270,1
SEDOL,ID879830,9804196.65,37164451.56,EQ,2,6,1,0.4967,2028-12-09,4,1,307285,-20031283,2
INTERNAL,ID517782,28144824.28,34121524.83,EQ,2,7,5,0.9613,2033-12-11,4,2,1191295,-20860211,2
CUSIP,ID909987,26143347.68,42530549.97,AFS,1,10,2,0.3716,2025-10-07,3,2,-17709553,48260646,1
SEDOL,ID707670,3500415.18,37681056.81,AFS,2,4,2,0.4127,2029-12-12,6,2,18842130,18790788,1
SEDOL,ID387342,12272702.44,28193510.91,AFS,2,8,1,0.4945,2029-11-24,5,1,-18581666,9831352,2
CUSIP,ID879181,42199465.13,41750497.0,AFS,1,1,4,0.7247,2031-07-29,5,1,-21417370,49087231,2
SEDOL,ID230765,34473787.1,8245852.21,EQ,2,7,2,0.6683,2031-06-17,6,1,-37466001,38085561,1
CUSIP,ID463700,19248108.42,47140742.0,HTM,1,11,4,0.6357,2027-09-17,6,1,44580555,-48200576,1
ISIN,ID957151,37885927.59,49255310.31,EQ,2,1,2,0.3473,2025-12-31,6,2,-40329302,46567686,2
ISIN,ID626302,15878950.91,3834555.0,HTM,1,3,1,0.9322,2027-04-19,4,2,6020184,-8877525,3
ISIN,ID591597,44458140.81,13052539.85,EQ,2,5,1,0.2327,2033-07-01,6,2,-23480295,1659113,3
CUSIP,ID740868,22002344.56,26777978.73,EQ,2,9,4,0.9796,2028-01-15,4,1,42789032,-42893487,1
ISIN,ID576732,5627326.83,11057725.43,AFS,1,1,3,0.5434,2029-09-18,5,1,23712484,39722244,1
INTERNAL,ID479016,12365725.47,20150753.05,HTM,1,8,3,0.1373,2029-07-12,5,2,-6219028,-16872380,3
SEDOL,ID358527,46091700.66,23887718.46,EQ,2,10,4,0.17,2030-02-10,2,1,-23940302,-47208721,1
CUSIP,ID806282,3167707.72,22652223.29,EQ,1,3,3,0.1049,2027-03-19,3,1,15139953,5440836,2
INTERNAL,ID518172,27498317.22,27206712.2,HTM,2,3,4,0.3996,2025-12-15,3,1,25576789,-40334010,2
SEDOL,ID521633,30481976.3,47488909.82,HTM,1,7,3,0.3836,2029-04-07,3,2,40308485,-29614178,3
SEDOL,ID344194,24981064.89,25656649.45,AFS,2,3,1,0.976,2029-01-13,6,2,34783055,37244361,3
ISIN,ID490639,10590309.39,27595804.71,HTM,1,4,1,0.176,2028-02-11,1,1,-33499897,40947337,1
ISIN,ID378309,36465573.56,27416591.98,HTM,2,11,1,0.744,2030-07-19,5,1,41845087,-5641332,3
SEDOL,ID744665,35971955.11,10267988.37,AFS,1,7,1,0.4954,2027-04-11,3,2,-6758058,1078120,1
SEDOL,ID154994,37125423.91,7689798.7,HTM,2,2,3,0.7433,2028-04-23,1,1,44703007,12149049,2
SEDOL,ID239079,21408235.97,24659327.33,EQ,1,3,5,0.393,2025-08-16,3,1,-5194187,-32964060,3
SEDOL,ID244678,16977657.5,36176719.82,EQ,2,4,3,0.0375,2033-06-18,1,1,47020964,12756973,3
CUSIP,ID346492,27600567.4,30774013.41,HTM,2,8,2,0.7611,2026-11-10,1,1,-3563032,-48196568,1
INTERNAL,ID495834,3966120.65,35301092.91,HTM,2,7,3,0.3382,2026-07-21,4,2,27904174,16711731,2
SEDOL,ID537968,20354789.98,40710686.2,HTM,2,5,5,0.5931,2031-10-29,1,2,10304313,-45334124,3
CUSIP,ID604462,15411116.48,4094653.07,EQ,1,4,4,0.5351,2030-09-30,6,2,-12919025,-11436751,2
ISIN,ID397982,24499453.94,38979920.87,EQ,2,10,1,0.2831,2028-03-22,4,2,9093561,-44975099,3
SEDOL,ID267126,27350679.32,6606325.34,EQ,1,9,5,0.8255,2029-06-05,3,2,25963565,-37544328,2
INTERNAL,ID937339,10726598.98,12734311.79,HTM,2,6,1,0.8135,2031-12-30,2,1,31042113,-16249381,3
ISIN,ID299709,22701857.95,29423496.78,AFS,1,1,3,0.6771,2031-05-09,4,1,-42067608,13402552,2
ISIN,ID846417,4300902.38,36134867.18,EQ,1,4,1,0.4508,2034-11-08,5,1,17679212,45142493,2
ISIN,ID175874,15027726.3,43944324.63,EQ,2,8,5,0.607,2027-12-01,4,2,-20225824,45287922,3
INTERNAL,ID175257,12833057.71,19213265.9,AFS,2,7,1,0.7358,2029-08-25,5,2,22283503,5266256,2
INTERNAL,ID343856,21742408.62,5194946.29,AFS,2,6,4,0.8857,2027-08-15,6,2,7981542,-24530500,3
SEDOL,ID385479,34887497.8,28256676.92,EQ,1,6,1,0.1836,2028-06-21,3,2,3701050,1584278,3
ISIN,ID381663,13314110.98,37502945.26,AFS,2,7,2,0.9137,2029-06-23,3,2,-44500498,-8461741,3
SEDOL,ID247768,12991645.82,8042355.87,AFS,2,6,5,0.4677,2027-11-14,5,2,-11063593,12632150,3
CUSIP,ID641329,46144431.34,5779670.81,AFS,1,7,3,0.6902,2032-07-16,3,1,2687813,-39838295,3
CUSIP,ID626415,40330168.37,43674381.28,AFS,1,10,4,0.3274,2035-01-23,4,2,10942016,-23025730,2
ISIN,ID845776,3547383.84,42124165.91,AFS,1,6,4,0.0831,2026-06-06,6,1,-20100999,-5503488,1
ISIN,ID182972,40759092.78,38357817.98,HTM,2,7,4,0.7373,2025-11-28,5,2,8151802,19816368,1
INTERNAL,ID287513,45243377.28,26232009.87,HTM,1,4,4,0.2855,2028-11-21,3,1,-2493628,-41593496,2
CUSIP,ID790116,8699822.27,47594554.26,HTM,1,8,1,0.8651,2033-07-26,3,1,40488850,44775343,3
CUSIP,ID949771,16496405.51,41627669.69,EQ,2,1,5,0.4349,2029-09-29,6,1,-30765394,-19981540,3
INTERNAL,ID113069,42246050.81,47127001.47,AFS,2,6,3,0.4767,2027-05-25,6,2,-39164103,-48537081,1
CUSIP,ID953950,37227446.87,40496570.63,AFS,2,6,4,0.1568,2027-08-01,4,2,20433697,6918195,3
ISIN,ID977180,39525959.19,36966763.85,AFS,1,10,1,0.6065,2034-08-05,6,2,290158,-9556519,2
INTERNAL,ID908763,6944156.48,22600297.34,HTM,2,11,2,0.4316,2029-11-25,4,2,-34937156,40303869,3
ISIN,ID270829,43993401.81,16431911.85,HTM,2,8,4,0.8456,2027-02-18,6,2,-28863004,-39251139,1
ISIN,ID400076,3763450.2,41506325.39,HTM,1,9,2,0.33,2030-07-05,1,1,-35674453,-12621225,1
INTERNAL,ID445910,32747629.18,25866921.71,EQ,2,8,1,0.9399,2030-02-27,1,2,-44705082,29767429,1
ISIN,ID283356,14715637.84,38253731.64,EQ,1,8,3,0.3574,2029-02-01,6,2,49834827,40637121,2
CUSIP,ID801345,30476380.44,19827596.61,HTM,1,6,5,0.5358,2025-10-17,3,1,-4123136,-27327805,2
INTERNAL,ID696925,15928793.38,48337846.14,EQ,2,11,2,0.6536,2028-02-04,1,1,-16390664,-25553077,1
CUSIP,ID162483,8980661.97,27413407.02,HTM,1,8,5,0.0905,2028-06-22,2,1,21135180,40739341,1
CUSIP,ID415420,38870984.68,1802311.83,EQ,2,2,2,0.3324,2027-08-06,5,1,-47335403,-14131082,1
SEDOL,ID798125,3130415.31,30561195.11,EQ,1,8,1,0.386,2031-03-03,4,2,-3545496,43836473,1
CUSIP,ID434714,28446559.07,4110524.36,AFS,1,10,1,0.2323,2030-08-21,4,2,-8724617,-1761316,3
INTERNAL,ID747480,28262109.74,26047530.65,AFS,1,7,2,0.6883,2032-07-22,3,1,4642728,-38083587,3
CUSIP,ID145678,31457482.58,16116002.91,AFS,1,6,3,0.8036,2029-04-18,3,1,16145628,-9857509,1
CUSIP,ID803901,23597181.64,29024503.6,EQ,1,4,2,0.8925,2034-06-29,6,2,-40132126,27450880,1
CUSIP,ID471237,21607623.94,3589915.63,HTM,2,1,4,0.8867,2025-10-11,3,2,30755055,-6706058,3
CUSIP,ID350612,25399066.24,10387640.45,AFS,1,9,5,0.8779,2029-05-19,1,2,20583782,40416551,2
INTERNAL,ID996074,2081853.54,23658140.83,AFS,1,2,5,0.8669,2027-05-27,1,2,21830976,41881555,3
INTERNAL,ID100507,35183056.25,25522483.03,EQ,1,9,3,0.26,2027-12-26,6,1,-3788492,-6359977,1
CUSIP,ID799975,18911994.05,3389094.31,AFS,2,5,2,0.7272,2026-02-23,3,1,49966060,-40152408,3
CUSIP,ID442054,10334744.47,9616927.17,EQ,1,4,5,0.1605,2029-02-11,5,1,46877857,10904657,2
INTERNAL,ID783188,8444533.83,9506802.33,HTM,1,5,1,0.0262,2033-08-26,4,1,-19882520,26461354,3
INTERNAL,ID583684,45248570.87,32691747.57,AFS,1,1,4,0.786,2031-06-21,2,2,9752289,-44291216,1
SEDOL,ID228930,42099826.78,8213915.61,EQ,2,8,3,0.5751,2033-03-21,6,2,-22936181,-25419784,1
CUSIP,ID152532,37417730.86,6606828.86,HTM,1,5,3,0.4276,2028-09-30,4,1,44799394,-3730067,2
ISIN,ID140643,20026716.54,42982252.79,EQ,1,6,5,0.0898,2029-07-24,4,1,42363903,-48345480,1
CUSIP,ID266415,48552410.03,3878652.83,EQ,1,2,4,0.7839,2028-08-31,4,2,-36298050,49131052,2
INTERNAL,ID173899,12501438.43,25154942.66,AFS,1,8,1,0.7412,2029-02-11,4,2,-29834973,-39666428,3
ISIN,ID299449,17816954.54,41632786.89,EQ,2,2,3,0.1644,2032-05-22,2,2,-47605877,15424312,1
CUSIP,ID692063,40112241.22,14795252.36,EQ,2,1,2,0.5574,2027-12-15,4,2,1766951,1770043,3
INTERNAL,ID945907,37751919.56,32355908.38,HTM,1,1,5,0.6875,2034-03-29,5,1,5066081,-3829205,3
INTERNAL,ID803841,27762493.32,7495474.45,HTM,2,4,1,0.4031,2031-10-10,3,2,-2581386,13720790,1
ISIN,ID154346,38850351.28,24832666.88,AFS,1,5,2,0.0105,2029-04-24,2,1,-46982871,-22562331,1
CUSIP,ID632332,14553655.0,17291299.59,AFS,2,6,5,0.9227,2028-03-08,5,2,-49503691,-37002122,1
CUSIP,ID953588,13625222.46,31709948.83,HTM,2,5,4,0.5847,2025-08-12,4,1,-27597435,-20189339,2
ISIN,ID557504,4973563.6,18324809.66,AFS,1,6,3,0.1719,2031-11-08,5,2,-39735779,46181357,2
SEDOL,ID125645,27723160.35,41177687.07,HTM,2,10,4,0.1798,2033-01-15,2,2,21159601,-6574519,2
INTERNAL,ID447735,43598697.08,16162231.36,HTM,1,11,2,0.992,2031-05-30,4,2,10618372,20735834,3
CUSIP,ID816031,24117232.52,47099804.13,EQ,2,3,3,0.0821,2028-09-06,5,2,-18825999,-38542006,3
INTERNAL,ID196666,24175111.18,11871876.37,AFS,2,3,4,0.0749,2033-06-30,1,2,-36729171,-8095023,3
INTERNAL,ID834912,5211231.47,27347859.68,HTM,2,6,2,0.7971,2035-01-06,5,2,-27683681,10285292,1
CUSIP,ID428365,23859073.38,42072346.5,AFS,1,2,1,0.8604,2027-07-11,3,2,-12344479,-46067992,2
INTERNAL,ID303649,2307093.3,47181782.44,EQ,2,1,5,0.6036,2034-02-16,1,2,-17401953,15622583,2
CUSIP,ID735731,48439295.19,46222010.38,HTM,2,7,2,0.6783,2032-07-15,1,2,27494902,-7089118,2
INTERNAL,ID422723,41881737.47,18239593.45,AFS,2,6,5,0.1587,2034-03-28,3,2,-25200600,-6927279,1
INTERNAL,ID430739,43320321.85,44531424.13,HTM,1,8,5,0.3687,2034-04-17,6,1,11368461,30536295,2
ISIN,ID249177,39195310.54,36519717.17,EQ,2,1,1,0.5298,2034-06-24,2,1,-25218487,26966816,2
ISIN,ID878290,44451482.32,25763740.43,EQ,2,11,4,0.6169,2030-10-15,3,2,-43998149,24108169,3
SEDOL,ID394595,11081170.52,2496582.25,EQ,1,8,5,0.4646,2026-06-07,3,2,40391077,-21507810,2
CUSIP,ID787717,6818444.14,11860644.22,EQ,2,8,2,0.2213,2030-04-20,2,2,12269280,4471655,1
CUSIP,ID381484,30610428.47,37325922.86,HTM,2,9,1,0.4705,2029-06-11,1,1,-46632979,-7047879,3
ISIN,ID183844,35336286.95,6931887.04,EQ,2,10,5,0.4624,2034-01-27,6,2,-48508131,31037213,1
SEDOL,ID642707,3118485.38,38119265.36,EQ,1,2,5,0.3829,2025-10-23,5,2,40577232,22275255,3
SEDOL,ID859413,24384044.62,26723202.16,EQ,1,9,3,0.1541,2029-10-30,1,1,-47463089,29451177,2
SEDOL,ID537445,20396399.2,49977952.08,EQ,1,8,3,0.0958,2030-02-09,6,1,45423231,35348441,2
ISIN,ID463339,4551770.17,5867868.52,HTM,2,8,1,0.1068,2030-04-29,4,1,46203905,-15385019,1
INTERNAL,ID629983,22972414.36,2985691.39,HTM,2,6,2,0.0481,2029-07-26,2,1,-20961525,-7938174,2
SEDOL,ID763946,3548395.23,35533756.94,AFS,2,4,5,0.3066,2025-07-20,3,2,-23574743,-43958423,3
ISIN,ID826951,16732189.21,11314852.07,HTM,2,3,4,0.6539,2027-07-07,5,2,-48248592,44248273,3
INTERNAL,ID475921,8206998.72,44322173.49,AFS,1,5,5,0.5789,2029-08-31,2,1,-352142,-23551212,2
ISIN,ID531252,4277772.42,48307074.27,HTM,2,4,1,0.6383,2032-11-08,4,2,-9132697,35331974,3
INTERNAL,ID811652,17158603.25,49857321.83,EQ,1,10,2,0.988,2033-03-30,1,2,-8509820,23717717,1
SEDOL,ID184429,13939506.3,38315256.17,HTM,2,2,3,0.6238,2032-01-22,5,2,28484037,-18956885,3
CUSIP,ID547107,14575726.85,9980858.55,EQ,1,3,4,0.0847,2034-01-30,5,1,48853523,20193243,1
INTERNAL,ID589225,12191245.26,9210655.89,EQ,2,1,2,0.132,2028-07-17,5,1,-22340326,-46279053,3
INTERNAL,ID937768,14759493.14,13979322.85,AFS,1,10,2,0.7958,2027-04-30,3,1,-37363045,7449092,1
SEDOL,ID854888,26843735.58,37777319.23,AFS,2,1,4,0.9362,2029-06-18,5,1,32738792,-6548135,2
ISIN,ID713651,32879119.65,31115535.98,HTM,2,2,5,0.1035,2025-12-07,4,2,15840216,17423950,3
CUSIP,ID186181,41579827.3,31199763.85,AFS,1,7,4,0.9701,2034-12-09,6,2,-17241115,-11786550,1
INTERNAL,ID647318,37388739.99,21009260.0,HTM,1,10,3,0.8598,2032-04-29,3,2,-17602790,-33762450,2
SEDOL,ID463841,28587639.64,5088260.38,HTM,2,10,2,0.6296,2034-01-02,3,1,7716170,-36211701,3
ISIN,ID663199,33586469.13,38268735.5,HTM,1,11,5,0.259,2025-08-31,2,2,-34594242,-74534,1
ISIN,ID860796,16556739.07,8823537.79,AFS,1,9,4,0.1012,2029-03-09,6,2,26012802,49348709,3
CUSIP,ID174160,13495140.22,15336750.92,HTM,1,1,1,0.2032,2031-11-26,3,2,46548545,27928501,3
ISIN,ID699323,33789422.42,23954921.27,EQ,2,4,4,0.5154,2032-12-24,4,1,-2665887,22455848,3
ISIN,ID851776,1897148.51,20169481.09,EQ,2,6,3,0.9975,2034-08-10,4,1,49660228,-49460127,3
INTERNAL,ID811083,40819406.5,31266134.13,EQ,1,1,1,0.7808,2029-11-09,3,1,25712736,-10286406,1
CUSIP,ID945995,5992246.72,42325862.62,HTM,1,5,1,0.1178,2030-02-24,6,1,-40754231,-37052535,3
ISIN,ID785987,26790103.93,37570823.44,HTM,2,9,3,0.8492,2035-01-11,6,1,-24846723,29345611,3
CUSIP,ID440707,16102433.75,9352730.53,HTM,2,4,4,0.9069,2033-10-18,3,1,-26342284,-29822109,1
INTERNAL,ID266298,47423384.43,44853050.48,EQ,2,3,5,0.1976,2035-02-17,4,1,-21527657,-13029742,3
CUSIP,ID640612,22949749.29,21264758.43,AFS,2,4,3,0.4918,2030-08-10,4,1,8866854,-7267488,1
SEDOL,ID681083,8340459.32,15471256.8,AFS,2,3,2,0.0081,2033-09-11,4,2,8323344,17672132,1
ISIN,ID530832,1777403.84,37377133.03,EQ,1,1,5,0.0883,2029-11-11,4,2,49635292,-6066616,2
SEDOL,ID352057,11443746.59,48170887.14,EQ,1,1,1,0.2835,2034-08-22,3,2,-43836894,29226235,1
CUSIP,ID976789,23061650.85,49290819.22,AFS,1,8,5,0.2281,2031-06-10,2,1,-34521102,17806117,3
ISIN,ID715108,9802780.62,28549416.3,EQ,1,11,5,0.1989,2030-07-22,6,2,27025154,874505,1
ISIN,ID518007,10177835.7,40118042.73,HTM,1,9,4,0.918,2025-09-30,4,1,-34464618,34488508,1
CUSIP,ID644518,21767859.88,49265172.73,HTM,1,11,5,0.6513,2026-07-04,3,1,42503330,-44900929,1
ISIN,ID259091,42676006.86,9266330.18,EQ,2,6,5,0.4494,2028-09-08,2,2,17188108,-281027,1
INTERNAL,ID990311,9595978.69,40836856.39,AFS,1,2,5,0.7924,2026-12-22,5,1,36319559,-38752820,2
SEDOL,ID141284,8657721.9,10005540.1,EQ,2,5,5,0.5397,2032-05-06,4,1,-11180745,40658240,2
ISIN,ID786510,17638071.41,4258109.49,AFS,1,2,5,0.1413,2032-05-25,1,1,42462686,-2852982,3
INTERNAL,ID723101,16391402.12,6209084.76,EQ,2,2,4,0.0121,2031-01-25,5,1,-48117477,-15541161,3
ISIN,ID574785,4221865.31,24041602.33,AFS,2,2,1,0.0531,2026-09-30,2,2,-17719932,19094585,1
CUSIP,ID581075,47216453.54,37553112.21,EQ,2,9,5,0.1436,2025-06-30,5,2,-5079115,35705516,3
SEDOL,ID641172,37774955.11,6716898.88,EQ,1,1,4,0.5582,2031-11-10,1,2,15682251,-26129709,1
SEDOL,ID988057,46534980.93,46908918.86,HTM,2,9,1,0.7656,2030-04-11,1,1,45882836,-47563993,2
INTERNAL,ID410256,36315229.74,17425240.63,HTM,1,3,3,0.0821,2031-10-20,3,1,43438949,-21426092,3
SEDOL,ID799813,37436097.65,26068375.04,AFS,2,7,5,0.7514,2027-05-31,4,1,-12435050,-44718254,1
CUSIP,ID104101,28176127.07,7194486.38,AFS,2,8,4,0.5765,2028-08-27,5,1,19108522,3919537,3
INTERNAL,ID888804,38728709.3,4152373.02,HTM,1,2,3,0.2911,2030-03-17,2,1,29062000,-7147794,1
INTERNAL,ID800856,29884920.88,49866378.02,HTM,2,2,2,0.0408,2035-01-20,5,1,18571380,23443520,2
INTERNAL,ID138803,20990036.71,15269153.46,EQ,1,4,4,0.2931,2028-12-27,2,2,-7101249,-41739611,3
CUSIP,ID433066,4318134.22,42989753.98,EQ,2,7,4,0.0857,2027-11-20,2,2,-45009042,21333007,1
INTERNAL,ID420691,35659292.01,47691465.4,AFS,1,6,1,0.2334,2028-06-15,5,1,20878226,15786066,3
SEDOL,ID891674,49103828.36,42181058.85,EQ,1,2,5,0.1242,2025-08-04,1,1,-7355409,-49449337,2
INTERNAL,ID248640,5326716.97,33423289.01,AFS,1,7,1,0.5347,2033-12-25,6,2,-44093558,31706780,1
CUSIP,ID419890,28842681.31,24479278.53,AFS,1,3,1,0.0476,2030-01-28,3,2,-6195663,-15721931,1
INTERNAL,ID777352,21198225.6,1769083.66,AFS,1,5,2,0.2429,2033-05-17,4,1,-26817437,-39256853,2
CUSIP,ID298367,9138050.25,36882770.97,AFS,2,10,3,0.0962,2030-10-25,4,1,39651848,45502514,3
INTERNAL,ID600798,17414173.0,14055489.52,EQ,1,9,1,0.4326,2030-06-30,2,2,-10508489,-7887269,2
ISIN,ID650461,27689211.19,34324358.46,HTM,2,6,1,0.1411,2034-02-28,2,1,-24640906,-16737143,3
SEDOL,ID202071,5870386.52,29571158.68,AFS,1,11,3,0.9047,2030-10-30,4,1,43940112,-17118490,1
SEDOL,ID673319,36910735.11,31978072.28,EQ,1,7,2,0.8201,2035-02-15,6,2,-35957675,-11201580,2
CUSIP,ID931066,23573782.01,17781621.66,AFS,1,9,4,0.8539,2028-09-30,4,2,7192303,-2972900,1
ISIN,ID213632,2591147.44,34355037.46,HTM,1,5,1,0.1817,2031-12-02,4,1,34105561,44058265,2
ISIN,ID300452,5129597.64,17825407.18,EQ,2,3,2,0.9787,2026-08-21,5,2,3400711,35226772,1
CUSIP,ID747199,44699802.87,13838403.87,EQ,1,9,4,0.5988,2025-08-30,6,1,2559495,42202223,2
ISIN,ID901028,11349932.2,36905618.35,HTM,2,6,5,0.4072,2032-09-08,6,2,-31825223,23632913,2
INTERNAL,ID303652,39633738.22,22673137.77,AFS,1,11,3,0.0405,2027-09-11,2,2,39543527,-3563127,3
CUSIP,ID723566,47564681.76,29137438.71,EQ,2,8,1,0.2152,2034-04-01,1,1,-26517596,-8317866,2
INTERNAL,ID103781,23172758.61,37532773.34,HTM,2,1,5,0.6102,2025-11-25,2,2,-3630024,-27641906,2
CUSIP,ID977168,18996362.94,6635669.81,EQ,1,3,4,0.9759,2025-06-18,4,1,46313026,18119399,1
CUSIP,ID898704,49139110.01,1412211.92,AFS,1,6,5,0.1811,2027-05-28,5,2,15846273,39798409,2
INTERNAL,ID802788,5079301.99,28992807.31,AFS,1,1,4,0.2692,2034-08-04,5,1,-2754255,16523272,2
CUSIP,ID556346,24336219.76,25963883.26,AFS,1,4,3,0.603,2034-12-11,4,2,-36532723,33399257,3
INTERNAL,ID466935,49812822.25,37542043.65,HTM,1,11,3,0.3811,2029-10-19,2,1,-33323394,-36448930,2
INTERNAL,ID150445,39035953.7,10607394.7,EQ,1,7,3,0.353,2028-11-02,6,1,-2523312,-6370700,2
SEDOL,ID560443,23017439.88,6830574.61,HTM,2,2,2,0.588,2031-12-24,3,1,22664675,-31324230,1
CUSIP,ID679358,34303117.58,34466155.75,HTM,2,4,2,0.809,2028-11-07,6,1,-29188272,-42746127,1
INTERNAL,ID772689,18720144.04,22544804.52,HTM,2,10,3,0.2985,2030-11-09,2,1,-10166153,-28731066,1
ISIN,ID786894,49718590.12,34866776.45,EQ,2,4,2,0.7421,2030-02-05,6,2,-27406092,46726422,3
SEDOL,ID588888,21288073.85,8140063.75,EQ,1,11,3,0.062,2033-07-27,3,2,36435594,-5759382,3
SEDOL,ID835124,29765963.69,42039802.24,AFS,1,7,1,0.5098,2032-02-14,3,2,44572179,40824878,3
INTERNAL,ID163929,18419514.89,36672312.31,HTM,1,7,5,0.1328,2027-06-19,5,1,4718516,24098270,2
SEDOL,ID593195,38039638.03,11244326.71,AFS,2,2,1,0.5296,2029-06-16,1,2,-47044527,39061635,3
ISIN,ID313021,42495796.0,39116948.1,EQ,1,1,2,0.3739,2029-06-25,4,2,31592764,-32743204,2
SEDOL,ID709848,10422853.57,10835787.28,HTM,2,5,2,0.1832,2031-03-03,4,1,3592068,26458525,2
SEDOL,ID773633,48609754.34,28113634.42,HTM,2,10,5,0.7139,2029-08-05,5,1,33161717,3621931,1
ISIN,ID677289,48387510.79,17274350.5,HTM,1,7,1,0.3603,2029-11-17,6,2,-31071140,22327091,1
INTERNAL,ID527331,36773648.12,27294346.53,HTM,2,6,1,0.4213,2032-08-14,4,1,47150855,-23987684,2
INTERNAL,ID678746,8097876.07,13815645.16,EQ,1,11,3,0.2299,2025-11-08,2,1,40053083,14438895,3
ISIN,ID527627,47096039.53,36429177.22,AFS,2,4,4,0.2172,2033-04-07,6,1,-39801732,-44670368,1
CUSIP,ID431360,4880829.02,28525731.61,AFS,1,5,4,0.4329,2025-06-30,2,1,38787094,-40276906,3
SEDOL,ID335295,32378725.54,2785037.61,EQ,2,5,3,0.9748,2029-12-19,5,2,-30482723,-48832288,3
ISIN,ID391265,19805269.69,30360787.21,EQ,2,7,1,0.5562,2029-10-17,6,1,-49347152,-39969208,2
CUSIP,ID917640,32199803.86,21012635.66,AFS,2,7,5,0.5557,2034-05-28,1,2,34515881,34417344,1
CUSIP,ID271988,49350351.31,46472116.05,HTM,2,4,2,0.0088,2029-11-30,4,2,-49610430,39055499,1
INTERNAL,ID757582,18129454.23,34394145.06,AFS,1,11,2,0.3604,2031-09-28,1,1,43639361,38771618,3
CUSIP,ID716919,30360857.43,17424964.33,EQ,1,5,1,0.7214,2031-03-22,2,1,30313709,49984095,1
INTERNAL,ID755504,36029707.52,32871903.75,EQ,1,9,1,0.6153,2035-01-20,3,1,36736596,-29736185,3
SEDOL,ID164858,3332009.39,18486396.01,HTM,1,5,5,0.568,2033-09-28,6,1,43978286,-43832448,3
CUSIP,ID999845,1386818.27,13123079.98,AFS,1,7,4,0.854,2029-04-15,6,1,-18402794,43750812,2
INTERNAL,ID297733,13482675.98,38834160.07,AFS,2,10,1,0.4006,2032-10-01,4,2,-3347253,-36533063,1
CUSIP,ID356636,30786154.55,36168168.83,AFS,2,8,2,0.9979,2031-09-24,4,1,-29006408,-46384977,3
CUSIP,ID475403,17958163.44,15460969.99,EQ,1,11,2,0.943,2028-04-04,6,1,34134339,-21908105,1
ISIN,ID594585,28938553.12,19472018.14,HTM,1,10,5,0.9601,2029-09-11,4,2,-28947891,-16372062,2
CUSIP,ID807234,17597615.81,23294209.27,AFS,2,2,1,0.3828,2026-05-03,1,2,10796197,18613824,3
CUSIP,ID312846,31200332.24,42784855.53,AFS,2,5,3,0.7267,2025-05-17,2,1,8177166,-5188741,3
INTERNAL,ID429856,39718564.19,24138466.23,EQ,1,10,1,0.3075,2034-09-20,1,2,-12890056,-12320428,3
INTERNAL,ID783178,27920580.76,27914093.74,HTM,2,5,5,0.8207,2027-02-17,2,1,-21977014,-27104078,2
SEDOL,ID764344,46371346.25,33281056.76,AFS,2,2,5,0.9294,2025-05-20,6,1,-10018781,3671623,1
SEDOL,ID815046,5720204.63,34037654.19,AFS,1,11,5,0.4576,2026-05-10,4,2,-19419978,35690290,3
SEDOL,ID918545,29103005.66,44856884.5,EQ,1,4,4,0.4438,2030-11-18,3,2,-19021718,-27901572,2
ISIN,ID217320,33951597.61,39416178.86,HTM,1,8,3,0.371,2025-09-18,1,2,-48515372,-47735850,2
INTERNAL,ID633598,3601613.03,29588731.66,AFS,1,5,2,0.1224,2030-11-01,5,1,-13389026,-25498648,1
